x,y,Class_ID,B1,B2,B3,Class,Description
364.1348877,-78.98669434,3,66,84,60,Class_3,Vegitation
261.8256836,-276.8505859,1,178,189,175,Class_1,LS Block
80.02227783,-143.1130981,2,113,110,93,Class_2,Grass
492.8963013,-207.3344116,2,102,98,86,Class_2,Grass
481.2351074,-226.331604,2,114,111,96,Class_2,Grass
258.9995117,-442.0797119,2,95,93,78,Class_2,Grass
350.7512817,-135.6663208,1,126,124,111,Class_1,LS Block
292.1190796,-255.2468262,1,181,196,177,Class_1,LS Block
167.0117188,-46.91418457,3,8,46,9,Class_3,Vegitation
87.97247314,-85.32592773,3,49,74,44,Class_3,Vegitation
498.9290771,-341.0130005,2,96,99,82,Class_2,Grass
178.0567017,-466.9104004,3,38,67,37,Class_3,Vegitation
181.0784912,-464.1046143,3,46,72,43,Class_3,Vegitation
502.1497192,-218.9724121,2,95,97,83,Class_2,Grass
504.2570801,-226.2033081,2,95,99,82,Class_2,Grass
248.104126,-151.1815186,1,148,149,135,Class_1,LS Block
61.92932129,-243.8762207,1,173,170,155,Class_1,LS Block
367.876709,-120.1621094,3,37,59,38,Class_3,Vegitation
378.9370728,-29.05938721,1,149,152,135,Class_1,LS Block
471.4237061,-194.0111084,2,108,109,95,Class_2,Grass
671.9439087,-355.012207,1,186,184,172,Class_1,LS Block
112.1984863,-150.8565063,2,106,105,87,Class_2,Grass
79.01208496,-140.8526001,2,119,117,102,Class_2,Grass
187.40448,-294.4559937,1,243,244,228,Class_1,LS Block
225.1520996,-303.2816162,1,185,188,179,Class_1,LS Block
477.2216797,-85.99481201,1,144,147,128,Class_1,LS Block
467.8203125,-344.1298828,2,101,101,89,Class_2,Grass
489.0487061,-199.9277954,2,120,116,105,Class_2,Grass
274.9541016,-266.1132813,1,183,194,180,Class_1,LS Block
273.1231079,-254.1260986,1,144,153,134,Class_1,LS Block
505.1870728,-204.253418,2,93,94,80,Class_2,Grass
222.8856812,-312.6704102,1,186,196,185,Class_1,LS Block
177.9370728,-107.7416992,2,93,96,75,Class_2,Grass
268.840271,-447.7407837,2,109,106,91,Class_2,Grass
665.2575073,-353.2097778,1,224,221,206,Class_1,LS Block
254.1334839,-540.8610229,3,55,79,53,Class_3,Vegitation
383.1400757,-81.13580322,3,57,93,57,Class_3,Vegitation
240.9794922,-534.1647949,3,68,103,63,Class_3,Vegitation
664.0264893,-149.2279053,1,202,209,193,Class_1,LS Block
256.9940796,-356.6190796,2,127,121,107,Class_2,Grass
118.1622925,-151.0007935,2,112,111,93,Class_2,Grass
343.887085,-152.1304932,3,125,145,110,Class_3,Vegitation
669.1052856,-374.9277954,1,198,192,178,Class_1,LS Block
664.5734863,-378.4334106,1,82,79,64,Class_1,LS Block
487.8652954,-216.1348877,2,100,98,83,Class_2,Grass
242.9221191,-528.2653809,3,60,86,57,Class_3,Vegitation
260.8004761,-283.3256836,1,167,173,159,Class_1,LS Block
670.116272,-352.9921875,1,166,163,148,Class_1,LS Block
357.72229,-155.0847778,1,160,161,155,Class_1,LS Block
281.9649048,-264.6356201,1,182,188,178,Class_1,LS Block
87.04431152,-144.2192993,2,108,105,90,Class_2,Grass
476.0408936,-211.90271,2,108,102,90,Class_2,Grass
463.151123,-224.0870972,2,103,97,85,Class_2,Grass
279.9035034,-525.8303833,1,183,202,174,Class_1,LS Block
508.7147217,-195.1934814,2,99,101,87,Class_2,Grass
232.3043213,-473.0366211,3,35,59,25,Class_3,Vegitation
90.02612305,-142.006897,2,116,115,97,Class_2,Grass
329.769104,-198.2108765,1,190,196,184,Class_1,LS Block
260.7719116,-351.8825073,2,123,120,105,Class_2,Grass
56.69189453,-429.4036255,2,108,101,91,Class_2,Grass
472.8934937,-219.1281128,2,106,100,88,Class_2,Grass
482.093689,-221.7139893,2,105,103,88,Class_2,Grass
303.9564819,-356.185791,1,248,249,233,Class_1,LS Block
474.1688843,-340.0537109,2,105,105,93,Class_2,Grass
256.3616943,-451.1090088,2,106,109,88,Class_2,Grass
218.9945068,-477.0654907,3,46,63,45,Class_3,Vegitation
494.0214844,-225.3693237,2,115,116,100,Class_2,Grass
460.0089111,-193.1774902,2,100,103,86,Class_2,Grass
500.1296997,-223.8782959,2,85,88,71,Class_2,Grass
206.9230957,-330.1276855,3,55,75,48,Class_3,Vegitation
271.0593262,-251.9407959,1,202,215,198,Class_1,LS Block
277.0377197,-447.1118164,2,106,102,91,Class_2,Grass
174.0228882,-49.0690918,3,78,120,82,Class_3,Vegitation
364.0438843,-80.32220459,3,33,55,34,Class_3,Vegitation
499.8001099,-199.076416,2,102,100,87,Class_2,Grass
364.7421265,-80.89892578,3,104,125,106,Class_3,Vegitation
658.803894,-205.2069092,1,145,143,130,Class_1,LS Block
663.3519287,-230.8911133,1,125,123,111,Class_1,LS Block
103.8776855,-154.2232056,2,117,127,100,Class_2,Grass
488.8768921,-77.00170898,1,119,122,105,Class_1,LS Block
119.9899292,-141.9107056,2,113,112,94,Class_2,Grass
92.34307861,-79.01269531,3,59,77,53,Class_3,Vegitation
366.9238892,-110.0947876,3,84,103,81,Class_3,Vegitation
510.9151001,-198.0792847,2,102,106,91,Class_2,Grass
654.9282837,-237.7468262,1,177,179,166,Class_1,LS Block
501.1077271,-10.96148682,1,123,124,108,Class_1,LS Block
476.9954834,-214.0186768,2,110,104,92,Class_2,Grass
182.8676758,-109.1265259,2,99,104,82,Class_2,Grass
254.5183105,-265.9981079,1,118,132,109,Class_1,LS Block
491.7901001,-194.0119019,2,92,88,77,Class_2,Grass
247.9666748,-520.0336914,3,81,107,80,Class_3,Vegitation
101.9058838,-142.7282104,2,116,117,99,Class_2,Grass
258.0488892,-541.0734863,3,58,84,57,Class_3,Vegitation
497.9462891,-206.0839844,2,96,94,81,Class_2,Grass
488.8753052,-225.0325928,2,105,103,88,Class_2,Grass
272.2429199,-252.8817139,1,195,206,189,Class_1,LS Block
210.1400757,-354.2269287,1,139,139,129,Class_1,LS Block
490.84729,-213.9224854,2,100,98,83,Class_2,Grass
118.1140747,-140.1311035,2,103,102,84,Class_2,Grass
460.7841187,-219.034729,2,96,92,80,Class_2,Grass
500.9865112,-226.0750122,2,104,107,90,Class_2,Grass
504.6580811,-210.2653809,2,94,96,82,Class_2,Grass
181.1934814,-439.7052002,3,19,42,14,Class_3,Vegitation
207.2542725,-478.0623779,3,50,72,51,Class_3,Vegitation
486.7590942,-218.2030029,2,105,103,88,Class_2,Grass
248.2005005,-271.9876099,1,155,160,140,Class_1,LS Block
76.79968262,-139.7943115,2,104,102,87,Class_2,Grass
